x,y,z,u,v,w
0, -270, 0, 103, 100, -78
0, -1070, 0, 103, 102, -78
0, -1870, 0, 109, 106, -78
0, -2670, 0, 117, 113, -79
0, -3470, 0, 128, 118, -80
0, -4270, 0, 137, 123, -80
0, -5070, 0, 143, 127, -79
0, -5870, 0, 151, 128, -79
0, -6670, 0, 157, 132, -77
0, -7470, 0, 160, 135, -75
0, -8270, 0, 162, 136, -72
0, -9070, 0, 163, 137, -68
0, -9870, 0, 166, 138, -63
0, -10670, 0, 166, 140, -58
0, -11470, 0, 167, 141, -51
0, -12270, 0, 167, 140, -46
0, -13070, 0, 169, 140, -39
0, -13870, 0, 168, 141, -32
0, -14670, 0, 166, 141, -26
0, -15470, 0, 167, 141, -19
0, -16270, 0, 167, 140, -12
0, -17070, 0, 165, 139, -6
0, -17870, 0, 161, 137, 1
0, -18670, 0, 158, 133, 7
0, -19470, 0, 154, 128, 14
0, -20270, 0, 146, 123, 22
0, -21070, 0, 137, 117, 28
0, -21870, 0, 129, 111, 35
0, -22670, 0, 121, 104, 43
0, -23470, 0, 112, 98, 51
0, -24270, 0, 102, 91, 57
0, -25070, 0, 96, 86, 63
0, -25870, 0, 89, 80, 69
0, -26670, 0, 82, 75, 75
0, -27470, 0, 76, 71, 78
0, -28270, 0, 71, 66, 81
0, -29070, 0, 66, 62, 84
0, -29870, 0, 62, 58, 85
0, -30670, 0, 58, 55, 87
0, -31470, 0, 54, 52, 87
0, -32270, 0, 51, 48, 87
0, -33070, 0, 48, 46, 88
0, -33870, 0, 45, 42, 86
0, -34670, 0, 42, 40, 86
0, -35470, 0, 41, 37, 86
0, -36270, 0, 36, 36, 85
0, -37070, 0, 35, 33, 84
0, -37870, 0, 33, 31, 83
0, -38670, 0, 32, 28, 82
0, -39470, 0, 29, 27, 82
0, -40270, 0, 27, 26, 80
0, -41070, 0, 26, 23, 80
0, -41870, 0, 24, 21, 78
0, -42670, 0, 22, 19, 77
0, -43470, 0, 21, 17, 76
0, -44270, 0, 19, 16, 76
0, -45070, 0, 18, 16, 76
0, -45870, 0, 17, 12, 74
0, -46670, 0, 15, 11, 73
0, -47470, 0, 15, 9, 73
0, -48270, 0, 13, 9, 72
0, -49070, 0, 12, 7, 71
0, -49870, 0, 11, 5, 71
0, -50670, 0, 10, 4, 71
0, -51470, 0, 9, 3, 69
0, -52270, 0, 8, 1, 69
0, -53070, 0, 7, 0, 69
0, -53870, 0, 6, -1, 68
0, -54670, 0, 6, -3, 68
0, -55470, 0, 4, -3, 68
0, -56270, 0, 4, -4, 67
0, -57070, 0, 2, -6, 67
0, -57870, 0, 1, -7, 66
0, -58670, 0, 0, -9, 66
0, -59470, 0, 0, -10, 66
0, -60270, 0, -1, -11, 66
0, -61070, 0, -1, -12, 65
0, -61870, 0, -2, -14, 65
0, -62670, 0, -3, -15, 65
0, -63470, 0, -4, -16, 65
0, -64270, 0, -6, -17, 65
0, -65070, 0, -6, -19, 64
0, -65870, 0, -7, -19, 64
0, -66670, 0, -8, -21, 64
0, -67470, 0, -8, -22, 65
0, -68270, 0, -9, -24, 64
0, -69070, 0, -10, -23, 65
0, -69870, 0, -11, -26, 65
0, -70670, 0, -12, -27, 65
0, -71470, 0, -13, -29, 65
0, -72270, 0, -14, -30, 65
0, -73070, 0, -15, -32, 65
0, -73870, 0, -16, -33, 65
0, -74670, 0, -17, -35, 65
0, -75470, 0, -18, -35, 65
0, -76270, 0, -18, -37, 66
0, -77070, 0, -20, -39, 66
0, -77870, 0, -21, -41, 66
0, -78670, 0, -21, -42, 67
0, -79470, 0, -24, -45, 67
0, -80270, 0, -25, -46, 68
0, -81070, 0, -26, -48, 68
0, -81870, 0, -28, -50, 69
0, -82670, 0, -29, -52, 69
0, -83470, 0, -30, -55, 70
0, -84270, 0, -32, -57, 70
0, -85070, 0, -34, -60, 70
0, -85870, 0, -35, -62, 72
0, -86670, 0, -38, -65, 72
0, -87470, 0, -40, -68, 73
0, -88270, 0, -42, -71, 73
0, -89070, 0, -45, -75, 74
0, -89870, 0, -46, -79, 75
0, -90670, 0, -48, -83, 76
0, -91470, 0, -52, -87, 77
0, -92270, 0, -54, -92, 78
0, -93070, 0, -59, -97, 78
0, -93870, 0, -62, -103, 79
0, -94670, 0, -65, -109, 79
0, -95470, 0, -69, -115, 80
270, -96000, 0, -73, -121, 81
1070, -96000, 0, -78, -119, 84
1870, -96000, 0, -82, -116, 87
2670, -96000, 0, -88, -113, 91
3470, -96000, 0, -94, -108, 93
4270, -96000, 0, -100, -103, 98
5070, -96000, 0, -106, -98, 100
5870, -96000, 0, -111, -93, 103
6670, -96000, 0, -117, -88, 106
7470, -96000, 0, -121, -84, 108
8000, -95730, 0, -124, -80, 110
8000, -94930, 0, -124, -81, 109
8000, -94130, 0, -113, -78, 108
8000, -93330, 0, -107, -76, 107
8000, -92530, 0, -98, -74, 105
8000, -91730, 0, -90, -73, 103
8000, -90930, 0, -83, -70, 101
8000, -90130, 0, -77, -68, 99
