x,y,z,Bx,By,Bz
-40.0,-40.0,-40.0,0.13,0.892,0.669
-40.0,-40.0,-30.0,0.309,1.235,0.617
-40.0,-40.0,-20.0,0.48,1.535,0.384
-40.0,-40.0,-10.0,0.552,1.657,-0.0
-40.0,-40.0,0.0,0.48,1.535,-0.384
-40.0,-40.0,10.0,0.309,1.235,-0.617
-40.0,-40.0,20.0,0.13,0.892,-0.669
-40.0,-40.0,30.0,-0.0,0.601,-0.601
-40.0,-40.0,40.0,-0.073,0.391,-0.489
-40.0,-30.0,-40.0,0.415,1.068,1.068
-40.0,-30.0,-30.0,0.839,1.59,1.06
-40.0,-30.0,-20.0,1.276,2.089,0.696
-40.0,-30.0,-10.0,1.472,2.304,-0.0
-40.0,-30.0,0.0,1.276,2.089,-0.696
-40.0,-30.0,10.0,0.839,1.59,-1.06
-40.0,-30.0,20.0,0.415,1.068,-1.068
-40.0,-30.0,30.0,0.13,0.669,-0.892
-40.0,-30.0,40.0,-0.023,0.407,-0.679
-40.0,-20.0,-40.0,0.839,1.06,1.59
-40.0,-20.0,-30.0,1.701,1.701,1.701
-40.0,-20.0,-20.0,2.672,2.375,1.188
-40.0,-20.0,-10.0,3.13,2.683,-0.0
-40.0,-20.0,0.0,2.672,2.375,-1.188
-40.0,-20.0,10.0,1.701,1.701,-1.701
-40.0,-20.0,20.0,0.839,1.06,-1.59
-40.0,-20.0,30.0,0.309,0.617,-1.235
-40.0,-20.0,40.0,0.044,0.353,-0.883
-40.0,-10.0,-40.0,1.276,0.696,2.089
-40.0,-10.0,-30.0,2.672,1.188,2.375
-40.0,-10.0,-20.0,4.365,1.746,1.746
-40.0,-10.0,-10.0,5.203,2.014,-0.0
-40.0,-10.0,0.0,4.365,1.746,-1.746
-40.0,-10.0,10.0,2.672,1.188,-2.375
-40.0,-10.0,20.0,1.276,0.696,-2.089
-40.0,-10.0,30.0,0.48,0.384,-1.535
-40.0,-10.0,40.0,0.105,0.21,-1.05
-40.0,0.0,-40.0,1.472,-0.0,2.304
-40.0,0.0,-30.0,3.13,-0.0,2.683
-40.0,0.0,-20.0,5.203,-0.0,2.014
-40.0,0.0,-10.0,6.25,-0.0,-0.0
-40.0,0.0,0.0,5.203,-0.0,-2.014
